iter	RMSE
0	4570.573845
1	4537.538292
2	4504.294236
3	4471.189806
4	4438.921464
5	4406.563885
6	4374.902503
7	4343.61428
8	4312.944223
9	4282.068878
10	4251.534988
11	4221.303297
12	4191.842071
13	4162.387584
14	4133.244509
15	4104.946973
16	4076.664237
17	4048.393863
18	4020.788541
19	3993.472396
20	3966.144479
21	3939.391072
22	3912.680659
23	3887.154948
24	3861.403578
25	3836.2224
26	3811.307135
27	3785.945323
28	3761.521583
29	3737.108691
30	3713.419039
31	3689.601075
32	3666.286723
33	3643.223903
34	3620.156317
35	3597.381297
36	3575.106725
37	3553.109286
38	3530.874682
39	3509.653307
40	3487.969322
41	3466.641651
42	3445.52405
43	3425.39028
44	3404.934516
45	3384.680857
46	3364.730363
47	3344.88671
48	3325.229843
49	3306.155274
50	3287.4302
51	3268.910081
52	3250.223
53	3232.266018
54	3214.086826
55	3196.174868
56	3178.536893
57	3161.033149
58	3143.538516
59	3126.14793
60	3109.215236
61	3092.645909
62	3076.151717
63	3059.762948
64	3043.425665
65	3027.330866
66	3011.380883
67	2996.229936
68	2981.064747
69	2965.674964
70	2950.701766
71	2936.309428
72	2921.820959
73	2907.35927
74	2893.211197
75	2879.043867
76	2865.109249
77	2851.036155
78	2837.461106
79	2823.909094
80	2810.776052
81	2797.593768
82	2784.704733
83	2771.902002
84	2759.319395
85	2746.844179
86	2734.702887
87	2722.689558
88	2710.616731
89	2698.985363
90	2687.072654
91	2675.386279
92	2663.785375
93	2652.494055
94	2641.432705
95	2630.6277
96	2619.743864
97	2609.00586
98	2598.53946
99	2588.199964
100	2577.7905
101	2567.645084
102	2557.76398
103	2547.885248
104	2538.385853
105	2528.890468
106	2519.341304
107	2509.864753
108	2500.887065
109	2491.260605
110	2482.3717
111	2473.365254
112	2464.512594
113	2455.775353
114	2446.902503
115	2438.373324
116	2429.843342
117	2421.147226
118	2413.061604
119	2405.141862
120	2397.174151
121	2389.157718
122	2381.127308
123	2373.401883
124	2365.500171
125	2357.961515
126	2350.618373
127	2343.291038
128	2335.880183
129	2328.594251
130	2321.419452
131	2314.484332
132	2307.651851
133	2300.711599
134	2294.138031
135	2287.488181
136	2280.909543
137	2274.549825
138	2268.100763
139	2262.009673
140	2255.695728
141	2249.722802
142	2243.91344
143	2238.105876
144	2232.244209
145	2226.369578
146	2220.609252
147	2215.011287
148	2209.412272
149	2203.802255
150	2198.542616
151	2193.187954
152	2187.721335
153	2182.437334
154	2177.403529
155	2172.184498
156	2167.239354
157	2162.270803
158	2156.816057
159	2151.540348
160	2146.445334
161	2141.442899
162	2136.468222
163	2131.560797
164	2126.464524
165	2121.991189
166	2117.197901
167	2112.513272
168	2107.773046
169	2103.087511
170	2098.534137
171	2094.33571
172	2090.055295
173	2085.876083
174	2081.788343
175	2077.604702
176	2073.333139
177	2069.182978
178	2065.188261
179	2061.059063
180	2057.183046
181	2053.327793
182	2049.636347
183	2045.641647
184	2041.71445
185	2037.784271
186	2034.234154
187	2030.717096
188	2027.194474
189	2023.88565
190	2020.419385
191	2016.939596
192	2013.811041
193	2010.210637
194	2006.659797
195	2003.430586
196	2000.129308
197	1997.043812
198	1993.928525
199	1990.846695
200	1987.832257
201	1984.553089
202	1981.686857
203	1978.750477
204	1975.761393
205	1972.931812
206	1970.222158
207	1967.166496
208	1964.251376
209	1961.501938
210	1958.902435
211	1955.981051
212	1953.461779
213	1950.75324
214	1948.131626
215	1945.568225
216	1942.806557
217	1940.164084
218	1937.716087
219	1935.174434
220	1932.882788
221	1930.574122
222	1928.186946
223	1926.003854
224	1923.85625
225	1921.583591
226	1918.98687
227	1916.838873
228	1914.672336
229	1912.238428
230	1910.206976
231	1908.074889
232	1905.679665
233	1903.512126
234	1901.458006
235	1899.263064
236	1897.305868
237	1895.458623
238	1893.656172
239	1891.826984
240	1890.039349
241	1888.241437
242	1886.278648
243	1884.265303
244	1882.354834
245	1880.721573
246	1878.965686
247	1877.24287
248	1875.444015
249	1873.83641
250	1872.232275
251	1870.631955
252	1868.84918
253	1867.288064
254	1865.722177
255	1864.183036
256	1862.618872
257	1860.844965
258	1859.389302
259	1857.848628
260	1856.389093
261	1854.659552
262	1852.932492
263	1851.388867
264	1849.956401
265	1848.318852
266	1846.938995
267	1845.393887
268	1844.054455
269	1842.61906
270	1841.164229
271	1839.737878
272	1838.179795
273	1836.914598
274	1835.728081
275	1834.52363
276	1833.200829
277	1831.977142
278	1830.768281
279	1829.430781
280	1828.174417
281	1827.056558
282	1825.774753
283	1824.469197
284	1823.127615
285	1822.14143
286	1820.82359
287	1819.772508
288	1818.727202
289	1817.42606
290	1816.351847
291	1815.266016
292	1814.268113
293	1813.255214
294	1812.328262
295	1811.058717
296	1810.006827
297	1808.970708
298	1807.840648
299	1806.851487
300	1805.830772
301	1804.853992
302	1803.839875
303	1802.744974
304	1801.573525
305	1800.689009
306	1799.649906
307	1798.531589
308	1797.533046
309	1796.613007
310	1795.807281
311	1795.00896
312	1793.978743
313	1793.002575
314	1792.148805
315	1791.255064
316	1790.494779
317	1789.764104
318	1788.84281
319	1787.815394
320	1787.003296
321	1785.712867
322	1784.616136
323	1783.559218
324	1782.689628
325	1781.828611
326	1780.781359
327	1780.043175
328	1779.251956
329	1778.424562
330	1777.615217
331	1776.680519
332	1775.995474
333	1775.143234
334	1774.187052
335	1773.536528
336	1772.842831
337	1772.189417
338	1771.507197
339	1770.577574
340	1769.726357
341	1768.962787
342	1768.306342
343	1767.718287
344	1767.105781
345	1766.349255
346	1765.679454
347	1765.015114
348	1764.093676
349	1763.506451
350	1762.783417
351	1762.06149
352	1761.427357
353	1760.804707
354	1760.142508
355	1759.521
356	1758.981027
357	1758.372664
358	1757.639475
359	1756.857879
360	1755.994715
361	1755.200599
362	1754.453975
363	1753.626822
364	1753.084077
365	1752.330996
366	1751.760825
367	1751.046375
368	1750.437741
369	1749.841161
370	1749.318687
371	1748.588053
372	1748.010102
373	1747.211319
374	1746.443415
375	1745.954188
376	1745.475801
377	1744.867025
378	1744.302211
379	1743.81244
380	1743.248034
381	1742.771411
382	1742.099238
383	1741.627858
384	1741.2014
385	1740.486482
386	1739.791676
387	1739.374216
388	1738.713992
389	1738.223276
390	1737.480231
391	1737.043285
392	1736.582218
393	1736.017921
394	1735.344207
395	1734.726988
396	1734.238371
397	1733.838881
398	1733.200081
399	1732.560422
400	1731.944142
401	1731.400945
402	1730.971588
403	1730.591475
404	1730.080646
405	1729.458876
406	1728.935351
407	1728.297224
408	1727.784837
409	1727.349421
410	1726.787038
411	1726.374018
412	1725.819922
413	1725.395049
414	1725.003457
415	1724.62308
416	1724.167837
417	1723.681627
418	1723.262477
419	1722.702415
420	1722.302908
421	1721.809333
422	1721.390387
423	1720.873673
424	1720.394208
425	1720.060889
426	1719.647923
427	1719.166489
428	1718.678099
429	1718.313232
430	1717.923928
431	1717.551221
432	1717.168052
433	1716.742379
434	1716.42092
435	1716.085128
436	1715.710523
437	1715.35624
438	1715.007339
439	1714.606388
440	1714.161056
441	1713.660585
442	1713.169704
443	1712.801783
444	1712.287925
445	1711.982026
446	1711.63134
447	1711.171378
448	1710.766153
449	1710.466916
450	1710.190046
451	1709.808006
